codigo,descricao,tamanho,valor,valor_promocao,quantidade
44493,LENCOL TEKA ALGODAO CASAL KG,,24.99,,1
44523,LENCOL TEKA CASAL 2 20X2 50 2 40,,4.99,,1
44578,LENCOL TEKA CASAL 2 50X2 80 60 50,,22.99,,1
44592,FRONHA TEKA EST LISA QUILO MISTA,,4.99,,1
44622,CUECA DENGO ALG INF,,0.90,,1
44738,CAMISETA ALFA SEDA R 2472 74 EST,,12.99,,1
44745,SAIA ALFA SEDA REF 2470 EST PMG,,4.99,,1
44752,CAMISETE AGTON SEDA REF 2600 EST,,21.99,,1
44769,VESTIDO AGTON AROCARA REF 2488 PMG,,24.99,,1
44967,CALCA TRAYMON TRADICIONAL REF 1100,,4.99,,1
45247,BLUSA IZABELA BRUNA PMG,,4.99,,1
45254,BLUSA MC JU SUPLEX DIVERSAS,,4.99,,1
45407,CALCA IST DESIGN SAVILE MICROFIBRA,,4.99,,1
45414,BERMUDA BLUE BAY BEACH MICROFIBRA,,9.99,,1
45438,BERMUDA BLUE BAY BEACH LISTRA COZ,,13.99,,1
45872,BLUSA ADRIMALHAS REF 091 JUV REGATA,,3.99,,1
45896,CALCA DIVERSAS,,5.99,,1
45957,BLUSA MARRIOT LIGANETE,,11.99,,1
45964,SHORT EMMES POLIESTER AD DIVERSOS,,4.99,,1
46107,BLUSA BD HELANCA FEM AD C SILK,,0.99,,1
46503,SAIAO MONIA REF 315,,4.99,,1
46602,REGATA ALFA MALHA AD VARIDA,,5.99,,1
47241,CUECA DM KIDS RIBANA INF ELASTICO,,10.99,,1
47258,BERMUDA BIG ROCK KANVAS PMG,,4.99,,1
47265,BERMUDA BIG ROCK KANVAS JUV,,4.99,,1
47371,CALCA ROVSTAR MOLETON 01 03,,0.99,,1
47777,TOP EMMES LYCRA REF 1361 PMG,,7.99,,1
47869,BLUSA PLANET CLUB 320354 04-08 RIBA,,4.99,,1
48125,SHORT FLUKE OXFORD DIVERSOS,,3.99,,1
48217,REGATA NCA M M PMG AD,,6.50,,1
48323,BLUSA ESTAGIO DIVERSAS AD,,4.99,,1
48545,TOALHA TEKA ROSTO ELEGANCE,,4.99,,1
48552,TOALHA TEKA BANHO ELEGANCE,,14.99,,1
48606,ROUPAO TEKA TERNURA,,39.99,,1
48699,BABY LOOK SCUZI RIBANA REF 7823 JUV,,0.99,,1
48705,CONJUNTO SCUZI RIBANA REF 7824 01 3,,0.99,,1
49016,EDREDON FILTEX SOLT 210X145 1FACE,,14.99,,1
49139,CAMISOLA KW90 MALHA PMG SILK,,6.99,,1
49146,BABY DOOL KW90 MALHA PMG SILK,,8.99,,1
49344,CONJUNTO TRICNIC MOL REF 1588 4 8 M,,4.99,,1
49351,CONJUNTO TRICNIC REF 03537 4 8 MASC,,16.99,,1
49450,BLUSAO ROVITEX MOL DIVERSOS AD ZIPE,,9.99,,1
49474,BLUSA ROVITEX RIBANA REF 1984 AD,,7.99,,1
49504,BLUSA ROVITEX RIBANA REF 1987 89 AD,,2.99,,1
49740,BLUSA TEXTIL2000 RIBANA PMG VARIADA,,1.99,,1
49955,BATA MARRIOT HELANCA REF 07 M L,,9.99,,1
49962,TUNICA MARRIOT HELANCA REF 022 M L,,4.99,,1
49979,BLAIZER MARRIOT OXFORD REF 023 M L,,4.99,,1
50234,CAMISETA XZ52 MALHA 8204 8208 ML,,9.99,,1
50395,SHORT EMMES POLIESTER REF 170 INF,,2.99,,1
50401,SHORT EMMES POLIESTER DIVERSOS JUV,,4.99,,1
50555,CALCA MC JU PLUSH REF 80050,,13.99,,1
50623,CALCA ROVITEX MOLETON 04 08,,1.99,,1
50784,JAQUETA KID S NYLON INF,,4.99,,1
50869,CALCA OFF SIDE TACTEL FEM,,4.99,,1
50890,CALCA JOSIBELLE SORTIDA AD,,4.99,,1
50982,BLUSA PITOKINHA RIBANA 04 10 M L,,0.99,,1
50999,CALCA PITOKINHO RIBANA REF 351 04 8,,4.99,,1
51026,CALCA JEEL PIERRE LEROC JEANS MASC,,9.99,,1
51040,CALCA JEEL RING 08 16,,4.99,,1
51088,SABONETEIRA PLASTICO,,3.99,,1
51125,CALCA BIMBU S JEANS REF 126 04 08,,21.99,,1
51262,BLUSA MEREJAK RIBANA REF 3309 RENDA,,4.99,,1
51279,BLUSA MEREJAK RIBANA REF 3324 MILIT,,9.99,,1
51446,MACACAO FEROZ ESPONJA REF 127 BOTAO,,15.99,,1
51477,BODY FEROZ SUEDINE REF 117,,9.99,,1
51491,MIJAO FEROZ ESPONJA REF 023 S PE,,1.99,,1
51507,BABADOR FEROZ ESPONJA REF 110 C 3,,8.99,,1
51576,TOALHA TEKA VISITA SOFTEX,,1.99,,1
51804,CALCA VGA SARJA REF 4500 C PREGA,,4.99,,1
51811,CALCA VGA SARJA REF 2702 CANELADA,,4.99,,1
51835,CALCA VGA TENCEL REF 2831,,4.99,,1
51859,CALCA TRAYMON FANTASIA REF 6123,,4.99,,1
51866,CALCA VGA SARJA REF 155 2515,,4.99,,1
51910,CAMISA MAC GIANT CAMBRAIA MAGNET ML,,4.99,,1
52016,LENCOL TEKA ALGODAO CASAL KG QUEEN,,19.99,,1
52023,LENCOL TEKA SOLTEIRO ALGODAO QUILO,,4.99,,1
52092,MEIA ACO POLIAMIDA SOCIAL AD,,1.99,,1
